likelihood_beta,beta
1.3610805148e-26,1.9647667261
1.1944708395e-26,1.6981959118
1.1475164569e-30,14.4964844232
1.2503108752e-29,13.1951136057
1.2587264584e-26,1.8018293639
2.2159998254e-26,3.5186691072
2.3674371549e-26,4.1922802595
1.7679428614e-26,2.6171175201
1.3599835008e-26,1.9630297626
1.3302436903e-26,1.9158798489
1.6705310050e-26,2.4567073187
2.2902104714e-26,3.7528604542
2.3735956541e-26,4.4088646826
1.8853780695e-26,5.9059021780
1.3822441909e-26,1.9982509348
1.2068217203e-26,1.7182214604
1.0688811271e-26,1.4908191569
1.3889882475e-26,2.0089122656
9.9691951242e-27,1.3680349397
2.0505903619e-26,3.1321708749
1.4691135274e-28,11.6118082284
3.1217826965e-30,13.9726444723
1.3540914094e-26,1.9536979786
1.1676111294e-26,1.6544470623
1.2341966270e-26,1.7624205882
1.2335908606e-26,1.7614451369
1.3300494027e-26,1.9155713899
1.0100893417e-26,1.3907674159
2.1648243942e-26,3.3860299554
8.3494385624e-29,12.0039633534
1.4924426192e-26,2.1722979390
1.1954030394e-26,1.6997092988
4.5692444350e-38,21.0593688299
1.5900006919e-34,18.3092183904
1.3615899468e-26,1.9655732898
1.2916032059e-26,1.8543971400
9.6122330499e-27,1.3057631167
1.8562167830e-26,5.9572375136
1.4676184323e-26,2.1330782813
1.0238655883e-26,1.4144154563
1.0860670551e-26,1.5196643078
1.2237429760e-26,1.7455712030
1.4103323784e-26,2.0426333370
1.2170139729e-26,6.9904006959
1.2045780561e-26,1.7145876727
1.1772517951e-26,1.6701823584
2.1786374436e-26,3.4202864131
1.5292010311e-26,2.2304722680
2.3711280665e-26,4.2490022647
2.7837758338e-28,11.1409363808
1.7884999357e-26,2.6516838471
2.2086583450e-26,3.4985888236
1.3118359997e-26,1.8866261453
1.1587862169e-26,1.6400095680
1.2426031220e-26,1.7759458687
1.0647561909e-26,1.4838703079
1.2256510859e-26,1.7486493163
1.2197648537e-26,1.7391499971
1.1715508510e-26,1.6608819546
1.2978481413e-26,1.8643538160
1.6727991251e-26,2.4603894884
1.3884938305e-26,2.0081307910
1.4615981604e-26,2.1235717360
1.3939536626e-26,2.0167595842
1.5397661913e-26,6.4778827224
1.4393905557e-26,2.0885117582
2.0247344053e-26,3.0799870903
1.0062031242e-26,1.3840723828
1.3561063197e-26,1.9568896411
1.2936036991e-26,6.8675198012
2.3552612662e-26,4.6493997797
1.6244576087e-26,2.3823319195
1.4830144494e-26,2.1573977865
1.3189455114e-26,1.8979318049
1.2661963251e-26,1.8137968884
1.0429447509e-26,1.4469550143
2.3602046268e-26,4.6087507112
3.8914194374e-29,12.5038453349
1.9077863507e-26,2.8592834553
1.2123362853e-26,1.7271452700
1.3077851292e-26,1.8801801136
1.2977843354e-26,1.8642521286
1.6431940777e-26,6.3126212808
1.0977469216e-26,1.5391737238
1.0837246270e-26,1.5157426102
1.1153896048e-26,1.5685058290
2.3740187989e-26,4.3799474455
1.0787741785e-26,1.5074444199
1.9971208205e-26,3.0258080857
1.1075125167e-26,1.5554295741
1.6980222432e-26,2.5014879429
1.9668007753e-26,2.9679255909
1.1859722087e-26,1.6843837603
2.1171961556e-26,5.4504432864
1.1980297312e-26,1.7039719042
1.2342564946e-26,1.7625169852
1.1149537202e-26,1.5677830676
1.1291120507e-26,1.5912116136
1.4440309598e-26,2.0958372158
9.7008524273e-27,1.3213158147
1.5482405048e-26,2.2606744945
1.4020582832e-26,2.0295645099
1.6395238002e-26,2.4065698883
1.1554496756e-26,1.6345423860
1.0555249178e-26,1.4682823991
1.3475789438e-47,26.8473211821
1.1682694862e-26,1.6555228247
1.3572163844e-26,1.9586477902
1.7382439674e-26,2.5676650930
1.4763426752e-26,2.1468574661
1.1310539596e-26,1.5944174020
1.8721441902e-27,9.4860823931
8.7620547147e-114,49.9754676459
2.3628075046e-26,4.1406927111
1.0451998547e-27,10.0435941614
1.8399644885e-26,2.7396245965
1.0946720177e-26,1.5340447582
2.0001222704e-26,3.0316258088
7.4681382206e-29,12.0790249502
1.0405450847e-26,1.4428754548
1.4750232569e-26,2.1447733104
1.3585337186e-26,1.9607340210
1.3223480725e-26,1.9033393606
2.9927586183e-27,8.9888443854
1.0427872783e-26,1.4466874156
1.8017595182e-30,14.2637681477
1.8473855437e-26,2.7524911552
1.2079349126e-26,1.7200237060
1.2212535639e-26,1.7415535748
1.2757927686e-26,1.8291503197
1.3866327310e-26,2.0051889699
4.2046959147e-29,12.4545533263
1.3152469788e-26,1.8920515079
1.1880153311e-26,1.6877067771
1.2003500543e-26,1.7077352420
1.3526098968e-26,1.9513508987
9.3229260015e-27,1.2545337219
1.6882749347e-26,2.4855720451
2.2576606684e-26,5.0834267928
7.0793391396e-27,7.8987671500
1.2632977036e-26,1.8091547355
1.9539662758e-26,2.9438760042
2.2569947487e-26,3.6395690890
2.3502771725e-26,4.6853121392
1.4197630435e-26,2.0575252686
1.4689231037e-26,2.1351386652
9.7610252579e-27,1.3318403741
2.0693051959e-26,3.1709362221
1.0910156770e-26,1.5279393032
1.0754103079e-26,1.5017977829
2.0351781102e-27,9.4011681082
2.1206259487e-26,3.2823796567
1.1633304753e-26,1.6474480343
1.1527691445e-26,1.6301466334
1.9216513969e-26,2.8843836562
2.3274616824e-26,4.8153064362
1.0969769288e-26,1.5378898454
1.2648749766e-26,1.8116810159
2.0484529176e-26,3.1277988135
1.5928343521e-26,2.3316815772
2.1399297497e-26,5.3984729647
3.4631625750e-30,13.9166816944
5.8153547703e-30,13.6321190512
1.1846143299e-26,1.6821743665
1.0120427920e-26,1.3941287075
1.0730218014e-26,1.4977844541
1.4484079707e-26,2.1027469941
1.7101950247e-26,2.5214277341
1.1538699734e-26,1.6319522412
1.2518668688e-26,1.7908263141
1.2838797040e-26,1.8420711581
1.2754997864e-26,1.8286819145
9.5852737666e-27,1.3010190985
2.2029031181e-26,3.4831224182
3.3398860846e-27,8.8646040397
1.3331007139e-58,32.0650895873
1.5281787426e-26,2.2288521730
1.1465624836e-26,1.6199563071
1.6642672419e-26,2.4465493316
1.2401167134e-26,1.7719476739
1.9603905893e-26,2.9558823181
1.1168705263e-26,1.5709607040
1.3653740182e-26,1.9715635246
2.2355051341e-26,5.1509542523
2.3460843412e-26,4.0123740574
1.2120092254e-26,1.7266163056
9.9557191642e-27,1.3657017383
1.1455731028e-26,1.6183303183
1.5489744373e-26,2.2618399147
2.2186722083e-26,3.5260813699
1.8474460085e-26,2.7525961976
1.8455163947e-26,2.7492456593
1.8294897874e-26,2.7215480701
1.1030700590e-26,1.5480408498
1.1496456504e-26,1.6250204998
1.7119235579e-26,2.5242651244
2.0615190494e-55,30.6596616041
2.3286598009e-26,3.9157130660
1.2000805159e-26,1.7072981771
2.3364801764e-26,3.9563289719
1.3224788070e-26,1.9035470910
1.4352064255e-26,2.0819065745
2.3209817275e-26,3.8790275923
1.1333546044e-26,1.5982130894
2.0340234281e-26,3.0985625352
1.1916752872e-26,1.6936555186
1.2725935801e-26,1.8240344759
1.1125967739e-26,7.1612341264
7.5548260307e-36,19.3956986696
6.0472119410e-28,10.5212191185
1.2749459927e-26,1.8277964799
1.4578378833e-26,2.1176345562
1.8512514966e-26,5.9658931818
1.3978019938e-26,2.0228402872
9.8324767026e-27,1.3443008556
9.6550726523e-27,1.3132893827
2.3454334504e-26,4.7168040370
1.2314698657e-26,1.7580288556
1.6337762554e-26,2.3973145869
2.2698501202e-26,5.0437373284
1.3242196080e-26,1.9063128508
2.3558749731e-26,4.0804398486
1.0770432380e-26,1.5045396499
9.2219984840e-27,7.4886175808
1.2101560929e-26,1.7236184831
1.9161345519e-26,2.8743674759
1.0326840489e-26,1.4294851666
1.7891223920e-26,2.6527351213
2.3739380563e-26,4.3881277273
1.1157694146e-26,1.5691355322
1.4009084286e-26,2.0277480394
2.3492370342e-26,4.0327846401
1.2871847551e-26,1.8473473631
1.4404835355e-26,6.6348702074
1.0976373808e-31,15.6298354852
1.0693801147e-26,1.4916590680
1.0727037529e-26,1.4972497984
2.8792312757e-27,9.0318384118
1.3678137594e-26,1.9754248157
2.2762674787e-26,3.7031336325
1.4645983204e-26,6.5967982827
2.3383306252e-26,4.7585803318
1.8631154543e-27,9.4909556179
1.0374995187e-26,1.4376924898
1.2142967318e-26,1.7303151983
2.5866567486e-31,15.2296108250
5.4576569683e-28,10.6066900643
2.2258319811e-26,3.5462265540
1.1495622812e-26,1.6248836191
2.3176003215e-26,4.8614168882
1.0441436791e-73,37.9317761564
1.6463097594e-26,2.4175120374
1.3509893920e-26,1.9487832935
1.2065508220e-26,1.7177828136
1.0290549721e-26,1.4232897945
1.1449824214e-26,1.6173593583
1.7623663007e-26,2.6077897832
1.1282892273e-26,1.5898527171
1.8182677008e-26,2.7022868952
2.3720672738e-26,4.4563687445
1.3976410573e-26,2.0225860126
2.0417604417e-26,3.1141794427
1.0123022630e-26,1.3945749757
1.2628608171e-26,1.8084548695
1.1545878560e-26,1.6331294457
1.0535830361e-26,1.4649967323
2.1059105914e-26,3.2495676558
1.2607155560e-26,1.8050175565
1.1829192847e-26,1.6794153734
9.9355357141e-27,1.3622047041
1.8303138716e-26,2.7229667243
1.3082700682e-26,1.8809519509
1.2748763010e-26,1.8276850477
1.0997607211e-26,1.5425300173
1.6655650624e-26,2.4486527194
1.4819462606e-26,2.1557100341
1.8929343057e-26,2.8326553008
1.5957028519e-26,2.3362646453
1.5653513973e-26,2.2878709008
1.2510735115e-26,1.7895528961
2.0921980964e-26,3.2196408865
1.3589053622e-26,1.9613225457
2.3699795696e-26,4.4963474844
1.1471574890e-26,1.6209339515
1.6035361082e-26,2.3487909999
1.0332719371e-26,1.4304879585
1.3160600753e-26,1.8933444649
1.1965352313e-26,1.7015469340
1.4304308538e-26,2.0743675639
1.1134971807e-26,1.5653672145
1.0068120926e-35,19.2966602370
2.3421773394e-26,4.7365193026
1.1784700299e-26,1.6721680755
1.1427693880e-26,1.6137201791
1.1160449810e-26,1.5695923602
9.4039239394e-27,1.2689489515
1.0973957156e-26,1.5385881657
2.3739969432e-26,4.3824957036
1.3518604018e-26,1.9501634060
2.3162023861e-26,3.8574795282
1.5571692350e-26,2.2748590996
1.2792182762e-26,1.8346253018
1.7216975816e-26,2.5403381038
1.6109192812e-26,2.3606129707
1.4026859322e-26,2.0305559997
2.2469653803e-26,5.1166967981
4.8126667756e-27,8.4237297484
2.0373357275e-26,3.1052318097
8.0351736193e-28,10.2779405094
1.1885735914e-26,1.6886144776
1.3833536233e-26,2.0000050375
1.2062740383e-26,1.7173346104
2.1300534558e-26,3.3038115518
1.3785325054e-26,1.9923816734
2.1551423128e-26,3.3625924894
2.0583449257e-26,3.1481259365
7.7203542048e-28,10.3127511755
1.1585159639e-26,1.6395669156
7.8330558396e-52,28.9868287024
1.0409924370e-26,1.4436362576
1.6864197696e-26,6.2425596120
1.2562659054e-26,1.7978840276
2.2668159024e-26,3.6712976644
1.3504762257e-26,1.9479701361
1.1880094391e-26,1.6876971964
1.3002204643e-26,1.8681339740
2.3734535737e-26,4.3099862889
1.1801026889e-26,1.6748283818
3.0052524600e-27,8.9841889520
1.4581488271e-26,2.1181254961
1.5508575186e-26,2.2648305155
2.3145176567e-26,3.8500895023
1.0398071779e-26,1.4416202302
1.2211438918e-26,1.7413765300
1.3492686579e-26,1.9460564986
2.2220944512e-26,3.5356572685
5.9723235811e-31,14.8241701806
1.1623537940e-26,1.6458500492
1.4570876173e-26,2.1164499946
1.0859888845e-26,1.5195334838
1.3597642700e-26,1.9626826252
2.3571231131e-26,4.6347934923
8.7075496499e-27,7.5821008139
1.2821952477e-26,1.8393811089
1.0621620175e-26,1.4794949890
1.2740718552e-26,6.8987086576
1.4822099504e-26,2.1561266604
1.2732205560e-26,1.8250372765
1.2145905332e-26,1.7307901458
2.0219628864e-26,3.0744803948
1.2570567616e-26,1.7991522936
2.1816718905e-26,5.2971571736
1.2361898689e-26,1.7656294630
1.9878026850e-26,3.0078508752
1.9347701826e-36,19.8568410898
1.6307903525e-26,6.3325966308
1.2049077515e-26,1.7151217510
1.5251190553e-26,2.2240041312
