likelihood_sigma,sigma
1.1836101422e-21,1.3884196458
1.1779144172e-21,1.5291208374
1.2018276555e-21,1.4270130743
9.4966595869e-22,1.7208959237
3.2056702061e-22,2.2015305785
9.5606335631e-22,1.7166418519
8.1869603948e-26,5.1541098912
1.2008958506e-21,1.4817926699
1.1840612653e-21,1.3890799859
1.0630008072e-21,1.6411037752
3.1072262941e-24,3.7790420020
1.2050827336e-21,1.4500995978
7.5967053790e-23,2.6998097038
1.2022488666e-21,1.4765428285
7.8951167808e-22,1.8246490533
5.7616172655e-22,1.9706245497
1.2048375839e-21,1.4450168792
1.2024752688e-21,1.4755536842
1.1047168621e-21,1.6073210087
1.1684293316e-21,1.3693419184
1.1664958250e-21,1.5446759567
1.1885755787e-21,1.3961384115
1.2050685588e-21,1.4495407256
9.5389768774e-22,1.7180840134
1.2030657179e-21,1.4727582235
1.2043033215e-21,1.4651121696
9.7144303055e-22,1.7063337286
1.0468294949e-21,1.6533023385
9.0734106444e-22,1.7486618312
9.8713148875e-23,2.6120811619
1.1890492560e-21,1.5107323084
1.1975535410e-21,1.4140990621
1.1841302786e-21,1.3891816478
9.7674248803e-22,1.7027521412
1.1686923850e-21,1.3696330721
1.1849415687e-21,1.5180429452
1.2050221408e-21,1.4565018274
1.1930375734e-21,1.4041803489
1.1832364694e-21,1.3878780753
1.1445073983e-21,1.5698282009
1.1876685642e-21,1.3946470904
1.0598156478e-21,1.6435384248
1.2027823099e-21,1.4309805035
3.4015600006e-24,3.7473484307
1.1683200589e-21,1.3692212895
1.5018595237e-22,2.4697929405
1.1937319585e-21,1.5012333581
1.0432021852e-21,1.6559867351
1.2013529221e-21,1.4252612569
1.1983579965e-21,1.4897757161
1.1638558338e-21,1.5479702805
1.0047454950e-21,1.6835196759
5.3427624715e-22,2.0024885058
9.1000512459e-22,1.7469296241
3.0474760080e-22,2.2201662930
1.1825244818e-21,1.5220260050
1.1980866892e-21,1.4905356422
1.1982035173e-21,1.4902101630
1.1925375232e-21,1.4032101772
1.1876657698e-21,1.5132816460
1.1445557245e-21,1.5697775792
9.8990293357e-22,1.6937825317
1.1687089417e-21,1.3696514337
1.2049916201e-21,1.4571851617
1.1704118779e-21,1.5396034398
1.2016725695e-21,1.4789007577
1.2020342129e-21,1.4278155522
1.2015237473e-21,1.4258778534
1.2008214889e-21,1.4234295329
1.2044581965e-21,1.4638111890
6.8028294522e-22,1.8968424969
1.1493225727e-21,1.5647000993
1.2048451482e-21,1.4596247580
1.2045897119e-21,1.4625797544
6.5416840059e-24,3.5211165868
1.0782508875e-21,1.6291977884
1.2017028689e-21,1.4265407172
1.1478495328e-21,1.5662874714
9.5618493831e-22,1.7165608238
1.1948316767e-21,1.4078436408
1.0108595835e-21,1.6792405212
1.1243937252e-21,1.5896797028
9.0868674794e-22,1.7477870555
1.1956243932e-21,1.4968782591
1.1845831596e-21,1.3898531057
2.9111161863e-22,2.2369037226
1.1952367908e-21,1.4087154201
1.2050778159e-21,1.4498912144
1.0275847653e-21,1.6673569318
1.1925729473e-21,1.4032782437
1.0107477918e-21,1.6793190548
1.1933378158e-21,1.4047728328
1.2044619744e-21,1.4637776363
1.2047554205e-21,1.4439809551
5.5094281619e-22,1.9896255474
1.2027138430e-21,1.4744653253
1.1758921702e-21,1.5320607531
1.2050591372e-21,1.4492242620
1.2029939451e-21,1.4731174465
1.1972598406e-21,1.4133735567
1.2048247260e-21,1.4448452207
1.1897435550e-21,1.5094146194
1.1887774318e-21,1.5112409810
1.1942857659e-21,1.4999968320
1.2006362417e-21,1.4228185731
1.1937457356e-21,1.5012029453
1.1813353970e-21,1.5239141201
1.5453083017e-23,3.2299993918
1.2048742734e-21,1.4455306631
3.5112391236e-28,7.7310817372
1.1959038820e-21,1.4101920456
8.3908893516e-22,1.7926932144
1.1760943542e-21,1.5317709941
9.8885760863e-22,1.6944991797
1.1229876636e-21,1.5909902709
1.1739452670e-21,1.5348066800
2.7280330766e-28,7.8693139706
1.1874619632e-21,1.5136491858
1.1277014259e-21,1.5865616055
1.1929743068e-21,1.5028800279
1.1714340149e-21,1.5382388761
1.2018184482e-21,1.4783233391
1.1382147966e-21,1.5762867153
1.1475571600e-21,1.5666005325
1.2038568084e-21,1.4366375829
1.0603873272e-21,1.6431026712
1.2041820342e-21,1.4388199198
1.2049522085e-21,1.4579461971
1.1761530928e-21,1.3783957531
1.1132072851e-21,1.5998826352
1.1895354270e-21,1.5098124667
1.1983396303e-21,1.4161153323
1.1413041797e-21,1.5731479626
1.1871343499e-21,1.5142359198
1.1654355842e-21,1.3661014060
1.2050922917e-21,1.4505735302
1.2050141814e-21,1.4480231572
8.6014803337e-24,3.4277311126
1.1992849212e-21,1.4187063377
1.1171042926e-21,1.5963842007
1.1946181444e-21,1.4073912425
8.5781390953e-22,1.7806509353
1.1321467403e-21,1.5822885589
1.1707540034e-21,1.3719535518
1.1935079048e-21,1.4051119342
1.2043643198e-21,1.4646159599
1.1674833405e-21,1.3683036779
4.7743643253e-26,5.3781832879
1.2043294267e-21,1.4399371351
1.1984153577e-21,1.4896131872
1.1854644692e-21,1.3911820651
1.1910575679e-21,1.4004499556
1.0412320184e-21,1.6574374998
1.1726363801e-21,1.3741359203
2.6937865928e-24,3.8292477032
1.1718824346e-21,1.3732541762
7.3379262234e-22,1.8610286318
1.1651960030e-21,1.5463096924
7.4768092451e-22,1.8518909704
1.1955033647e-21,1.4971684389
8.9471699365e-22,1.7568496534
1.1645950424e-21,1.5470572587
1.1961928571e-21,1.4108487465
4.5963002356e-22,2.0637137902
1.2024695119e-21,1.4755793383
1.1752344432e-21,1.3772583174
1.5506176041e-23,3.2288491651
1.2041992931e-21,1.4659173710
1.1679149527e-21,1.3687756884
1.1950331319e-21,1.4082749059
1.0966159335e-27,7.1302116608
3.4966389069e-26,5.5103290103
1.1764413616e-21,1.5312715779
1.2046012514e-21,1.4624646696
9.9154246446e-22,1.6926569663
1.1997946694e-21,1.4854807830
1.1909908931e-21,1.4003292177
1.1587044206e-21,1.5541484336
1.1491208146e-21,1.5649185278
1.0797818304e-21,1.6279776415
1.1971557833e-21,1.4930419039
1.1761300056e-21,1.5317198074
1.0198423277e-21,1.6728924066
6.8743341066e-23,2.7331401895
1.1938648298e-21,1.5009393197
1.1487256987e-21,1.5653453536
1.2050432759e-21,1.4487541284
5.5512699035e-35,21.3245634216
1.1663121843e-21,1.5449082002
1.1906292630e-21,1.3996794217
1.2050426352e-21,1.4487364289
1.1673153707e-21,1.5436336216
4.5023154984e-23,2.8738461943
1.1798087325e-21,1.3831179504
1.1475893714e-21,1.5665660738
1.1716101703e-21,1.3729383041
1.1664074115e-21,1.3671390648
1.1779723403e-21,1.5290352157
1.1972946128e-21,1.4926773785
1.1965584950e-21,1.4945767149
1.2015732038e-21,1.4260591522
1.0609446382e-21,1.6426773594
1.0799620792e-21,1.6278336618
1.1383670179e-21,1.5761334393
1.2050600425e-21,1.4492532577
1.1937597315e-21,1.5011720318
3.3058468179e-24,3.7573327094
5.7282305810e-23,2.7938481601
1.2047160293e-21,1.4435277748
1.1994001106e-21,1.4190363828
1.2009474354e-21,1.4238526487
1.2031065229e-21,1.4325129176
1.0168921162e-21,1.6749857427
1.1587290189e-21,1.5541196478
1.0420823301e-21,1.6568119736
1.1789267601e-21,1.3819479988
3.8620328109e-24,3.7030532202
1.1844102856e-21,1.5189363299
1.1920604685e-21,1.4023029816
1.1326228885e-21,1.5818249140
7.1079653187e-22,1.8762900499
1.1751853034e-21,1.5330668528
4.9560299696e-22,2.0334033487
1.1835492910e-21,1.5203622124
6.9373396660e-22,1.8877359399
1.1254355902e-21,1.5887029531
1.1984346526e-21,1.4895583670
1.1784201943e-21,1.5283704150
1.0229530577e-21,1.6706758285
1.1856186834e-21,1.5168885797
1.1039306360e-21,1.6079980232
1.1728529086e-21,1.3743911011
1.1772317203e-21,1.3797553297
8.1041836748e-22,1.8111467685
1.1915959621e-21,1.4014359270
1.1747591440e-21,1.3766769101
1.1972274352e-21,1.4928541492
1.1193408943e-21,1.5943502005
1.1421713627e-21,1.5722560147
1.2037799785e-21,1.4687745787
1.1753032329e-21,1.3773428588
1.1617587153e-21,1.5505230063
1.2051042014e-21,1.4514698645
9.2657465542e-22,1.7361149014
1.2037714064e-21,1.4361139381
1.1727533232e-21,1.5364503758
8.6370634399e-22,1.7768590907
1.1560382790e-21,1.5572312444
6.1142819590e-22,1.9448778255
1.2045272340e-21,1.4416210008
1.2049682160e-21,1.4576501854
9.5366783334e-22,1.7182369522
1.1916130843e-21,1.4014676125
1.2022149096e-21,1.4766878456
3.4815518909e-22,2.1708039769
1.1493845755e-21,1.5646329081
1.2050110654e-21,1.4567619658
1.1714387503e-21,1.3727401078
1.1986387683e-21,1.4889737184
4.0594380751e-22,2.1123999111
1.1845968138e-21,1.5186238783
1.1376585337e-21,1.5768456535
6.1529029755e-23,2.7700604165
1.1917053632e-21,1.4016387363
1.2049955351e-21,1.4476139578
1.1662371195e-21,1.5450029948
1.1862633511e-21,1.3924135932
1.1975648398e-22,2.5468898419
1.2048458420e-21,1.4596151178
6.8222933581e-22,1.8955199169
1.0615066774e-21,1.6422479251
1.2000299114e-21,1.4847264597
2.5264555493e-22,2.2880778844
2.9658175087e-22,2.2301103146
1.2040882388e-21,1.4667282183
1.2005827990e-21,1.4828842227
1.1914146887e-21,1.4011017336
1.2031120115e-21,1.4325399066
1.0305424367e-21,1.6652254861
1.1915076669e-21,1.4012728604
1.1471096481e-21,1.5670784503
1.2050791024e-21,1.4499439785
1.2004637396e-21,1.4832897322
1.4351126840e-22,2.4853466592
1.0669947527e-21,1.6380267606
1.1991053712e-21,1.4181984802
1.1919886758e-21,1.5049515901
1.1679996559e-21,1.5427557784
6.7233608605e-22,1.9022602067
1.0199532795e-21,1.6728135139
1.1945238798e-21,1.4071930376
2.4676532542e-24,3.8602051626
1.1592175361e-21,1.5535466203
5.7476870608e-22,1.9716605059
1.1822608395e-21,1.3864862045
1.1436911831e-21,1.5706807239
1.0497570003e-21,1.6511227508
1.2007292097e-21,1.4823784199
1.2036935101e-21,1.4693052830
9.8642669364e-22,1.6961628453
1.1563911149e-21,1.5568273934
1.1782524032e-21,1.3810671262
9.3282652653e-22,1.7320133213
1.2051080036e-21,1.4522414230
1.2040634603e-21,1.4379850848
