beta,sigma,theta1,theta2
1.474694,1.461748,1.337321,1.616503
1.440344,1.290522,1.365480,1.578175
1.423244,1.465522,1.391753,3.096309
2.519516,1.622466,1.361287,1.451615
1.268599,1.285664,1.395736,1.407626
1.424891,1.350227,2.171327,1.286176
1.290064,2.474879,1.769125,1.468897
1.509366,1.559882,2.028803,1.140233
1.347363,1.486822,1.346788,1.339346
1.438380,1.477335,2.205431,1.565780
1.750727,2.018712,1.291613,1.636403
1.541960,1.303676,1.590224,1.990512
1.423691,1.367495,2.173501,1.721873
1.733687,1.367788,1.492753,1.366285
1.306385,1.675733,1.493179,1.428129
1.827117,1.363542,2.737974,1.383236
1.268853,5.534549,2.602470,3.393798
1.292272,1.338061,1.340426,1.806648
2.741523,1.306736,1.279724,1.302313
1.289159,1.602144,16.715243,10.203282
12.480488,12.110314,4.905722,6.765119
16.355082,11.864690,18.596317,13.658413
1.347641,1.341243,1.296960,1.339844
1.391786,1.391472,1.340885,1.316698
1.340185,2.070265,1.403764,2.260168
4.840276,2.936658,1.298906,1.547279
1.340408,1.429562,1.367131,1.380003
1.272921,1.312619,1.315752,1.309458
1.330186,1.333705,1.662839,8.271202
8.943492,7.693799,5.940492,7.645214
8.909205,13.704564,7.599132,5.590392
8.996848,14.499499,3.986487,1.350032
1.314525,1.296030,1.277891,1.536446
5.300105,2.591833,0.891742,1.948324
1.789704,2.690153,3.167275,1.779603
4.575585,3.542924,9.124743,6.415572
6.481551,7.881055,7.592876,2.878523
5.006569,3.201881,1.188714,1.445593
2.550106,1.319183,1.445376,1.549563
2.176717,2.063974,1.724693,1.486020
1.287995,1.286624,1.296948,1.361474
1.445059,1.441826,1.447888,1.147455
1.381142,1.473553,1.599619,1.406911
2.218274,1.496931,1.295625,1.597840
1.327594,1.561044,1.595696,1.544490
1.554888,1.501410,1.599883,1.515045
1.429142,1.905255,2.004049,1.799361
1.661678,1.711482,1.391418,1.372661
1.562088,1.493595,1.441787,1.419906
1.418733,1.569848,1.438457,1.512126
1.269909,1.383239,1.752145,1.582830
2.661852,1.653050,1.401024,2.187430
1.337444,1.567074,1.733562,1.642232
1.664396,2.599176,1.558599,1.866329
1.308400,3.251743,4.884443,9.287259
5.022490,1.544106,1.323801,1.363987
2.017595,1.658286,0.708879,1.737190
1.332672,1.310492,1.816374,1.295162
1.509014,1.427136,1.483660,1.292659
1.433103,1.394489,1.447366,1.343468
3.104770,1.353667,1.431783,1.525526
1.303041,1.689103,1.386634,1.365109
1.604100,1.479501,2.379442,1.797628
1.428837,1.275531,1.479342,1.532758
0.995897,1.430351,1.290701,1.569906
2.601176,1.193925,1.781161,1.626012
1.575091,1.695066,1.520180,1.443626
1.300017,1.316543,1.440192,1.517179
1.613147,1.503655,1.886241,2.982939
1.865743,1.916613,1.321897,2.140219
2.017566,1.833755,2.165576,2.207316
2.326124,1.268601,1.297507,1.346905
1.534163,1.381507,1.588043,1.706200
1.354755,1.317867,1.318384,1.353780
1.344346,1.341990,1.340545,1.357697
1.341676,1.340158,1.337930,1.280157
1.387397,1.343827,1.343195,1.339298
1.340375,1.343563,1.337116,1.342291
1.277828,1.311090,1.432845,1.459937
1.373344,1.324874,1.318828,1.313995
1.319382,1.337905,1.538301,1.274012
1.317115,3.531908,2.307020,1.335833
1.295221,1.963285,1.675012,1.425054
1.496611,1.533868,1.497121,1.479878
2.943487,2.205801,2.853107,1.943383
3.232023,5.752641,4.079148,2.775066
1.269470,1.506479,1.890111,1.436797
1.473542,1.407259,1.432862,1.504404
1.315340,1.442947,1.701480,1.580569
1.428275,1.535118,1.427254,1.727435
1.953369,1.889046,1.600880,1.727388
1.607867,1.868241,1.427859,1.422602
1.508772,1.382557,1.419134,1.412280
1.374468,1.625616,1.456651,1.395143
1.313322,1.587510,1.516477,1.316027
1.285992,1.312829,1.542493,1.450584
1.561012,2.347406,1.775857,1.441749
1.476180,2.488079,2.072346,2.605264
2.774356,0.996548,1.303576,1.841169
1.617848,1.432714,1.311622,2.219555
1.968619,4.136909,8.460955,11.361398
1.424478,1.338975,1.339341,1.290057
1.334474,1.274236,1.311821,1.324692
1.328301,1.300630,1.352094,1.730625
1.776930,1.676827,1.593639,1.386370
1.351936,1.298595,1.414366,1.336182
1.343101,1.331177,1.356058,5.039440
1.472006,1.351726,1.376573,3.030743
1.428087,1.317628,1.984453,1.392723
2.636884,5.040955,2.481764,1.631468
1.441131,1.293117,1.756384,1.498312
1.432032,1.310805,1.334741,1.492537
1.371190,2.725515,2.916024,1.332260
1.340120,1.336859,1.340778,1.354354
1.333781,1.320827,1.367021,1.347335
1.346595,1.317839,1.319333,1.311552
1.350887,1.563259,1.532180,1.346655
1.548144,1.337611,1.328329,1.352899
1.345152,1.389327,1.346764,1.558947
1.322088,1.386331,1.361990,1.363427
1.375820,1.306360,1.290115,1.363535
1.341950,1.339531,1.481265,2.492272
1.668936,1.576331,1.594238,1.884686
1.341169,1.708086,2.622095,4.484266
4.696139,5.751918,4.724131,1.642406
2.378593,3.329329,2.106110,3.147809
1.537251,5.130180,2.895490,3.882496
1.375477,2.764078,3.997544,3.135519
1.424254,1.590832,1.496618,3.346628
4.272004,4.949853,6.104207,6.636836
7.020348,3.648077,2.164050,2.589124
1.373713,1.562566,1.444318,1.431747
1.450195,1.457084,1.354716,1.450091
1.417932,1.452650,1.579994,2.994198
4.878693,2.863574,1.660655,1.540962
1.747132,1.562755,1.333164,2.339810
1.523483,1.756045,1.663209,1.964319
1.540413,1.717717,1.732934,1.268688
2.358450,2.294257,1.579659,4.182445
1.547470,1.332113,1.300672,1.503549
1.304737,1.315519,1.400220,1.316161
14.251422,4.243212,8.050667,7.101240
4.129674,1.888985,3.703000,3.460446
2.126668,1.730498,1.462526,3.063101
4.479889,1.786867,3.748306,5.044570
3.344696,8.915557,14.981425,14.063764
8.945257,9.744427,5.502121,3.101635
4.144348,4.687313,2.953764,2.622536
3.128176,2.018296,3.018750,3.752971
1.517919,1.270594,1.281825,1.966035
2.557389,1.443376,2.464475,2.169820
4.537812,3.071536,1.842440,1.341980
1.320547,1.469811,1.996825,1.385818
1.268631,1.358490,1.358447,2.041706
1.363675,3.840409,8.792183,15.537110
3.720293,5.472105,1.268600,1.340769
1.316327,1.770553,1.646575,1.427632
1.984485,1.412456,1.876321,5.133348
7.120737,16.062647,8.597562,16.292778
10.641769,16.038209,7.772059,6.492242
5.698733,3.961704,3.830757,3.192958
4.531856,1.351675,1.469258,2.181207
1.410924,1.315717,1.626289,1.710107
1.499043,1.370751,1.335854,1.357847
1.537031,1.549762,1.428435,1.465327
1.364910,2.227336,1.987687,1.929427
1.417408,1.577403,1.312475,1.710476
1.385024,1.453084,1.301225,1.333086
1.555135,2.541005,1.291602,1.649900
8.260379,7.241015,3.848441,4.136024
1.674670,1.609215,1.712605,1.672196
1.613394,1.289424,1.592744,1.784217
2.627143,1.636524,1.815080,1.706280
1.608217,1.423703,1.484709,1.424602
1.380080,1.622370,1.153044,1.095473
2.821501,2.763819,1.398007,1.664473
1.677562,4.295769,3.244863,1.741243
1.575616,2.713127,1.378009,1.346085
1.398661,1.318946,1.315758,2.061022
3.510897,2.283555,4.278524,1.799199
1.841818,2.349858,3.904055,1.426807
2.406645,1.306394,1.340135,1.594435
1.382902,1.541677,1.432168,1.454310
1.515297,1.663650,1.874686,1.382093
1.704080,1.419833,1.373912,1.715142
2.121701,1.324635,1.520042,1.623782
1.639760,1.729847,1.273765,1.316017
1.448476,1.529659,1.607992,1.939253
2.127470,1.314078,1.349458,1.328304
1.323394,1.489347,1.331695,1.379326
1.397237,1.348161,1.366221,1.363877
2.245168,1.270831,1.365414,1.295382
1.354084,1.343900,1.550764,7.536306
1.358041,1.356178,1.427633,1.333375
1.285047,1.342150,1.268661,1.318512
1.313776,1.358434,1.343286,1.694233
1.360190,1.307353,1.307854,1.321674
1.308073,1.361202,1.292327,1.365709
1.305317,1.358549,1.321155,1.428675
1.344871,1.339648,1.688656,1.356125
