beta,sigma,theta1,theta2
1.627675,0.177423,1.468804,0.544847
0.580334,3.571467,0.615130,2.328120
2.936261,2.638319,3.285353,4.226269
4.532723,3.518452,1.143927,0.525736
0.344679,3.388033,0.595141,3.268585
1.189256,0.201054,0.024408,0.577217
0.261722,0.451458,0.349783,0.300639
0.064831,0.018219,0.275246,1.816110
1.312137,0.446154,1.656058,0.850506
1.509401,1.503771,1.689648,0.251758
1.259223,4.125805,2.574148,2.620972
1.852295,0.679827,1.602900,1.477389
1.755502,2.356924,1.502421,0.585030
2.334227,0.699393,0.085241,0.174764
0.212426,0.269093,2.842720,3.279348
0.405731,0.967077,1.056244,0.383057
2.757566,1.322570,1.184642,0.009910
1.672446,2.471656,0.714562,1.348344
0.684542,0.737617,0.849699,0.179238
1.501982,1.242798,0.945464,0.922315
0.998045,1.033344,1.928789,1.845000
0.339095,1.932252,0.720751,2.361080
2.679713,3.017958,3.578852,2.472729
2.754965,0.050844,0.647282,1.072652
0.309231,1.129407,0.250218,0.451127
2.234484,0.696431,0.798880,0.705728
2.979098,2.599352,0.105569,1.622057
2.997386,2.348213,2.111400,3.573727
1.824126,0.194053,1.053424,0.697763
0.108273,1.147387,1.034256,3.277127
1.335562,0.789786,0.602599,3.030591
1.644476,0.691129,0.956791,1.125263
1.657734,0.177771,0.143670,0.009619
0.186650,0.606387,0.824453,2.130463
0.711985,0.875943,4.306552,3.123801
3.977116,1.076125,0.186349,0.044943
0.499525,0.579311,1.039284,2.063613
0.833861,1.475979,1.309142,1.810608
2.080005,0.686142,2.252069,0.907563
0.768277,0.838900,0.938593,1.422540
2.050703,1.202099,2.044301,4.396745
3.717827,3.560043,4.171785,3.905010
2.185713,1.129477,0.791259,0.391956
3.328200,1.352620,1.222162,1.208667
0.175968,3.169849,3.107206,3.543561
3.092529,1.342929,1.541518,2.390950
4.842273,4.079549,2.694627,3.669829
2.943826,3.436498,4.175627,1.672171
2.597579,2.106587,0.776649,0.454395
1.539414,0.635018,3.005401,0.588669
0.633464,0.880079,1.144321,1.081723
1.644865,3.580825,1.824183,0.013915
3.351870,1.377813,3.177440,0.882756
2.254260,1.120876,4.198942,3.437270
3.374498,0.784538,2.441142,2.288604
4.561360,3.180925,0.987285,0.098330
0.010215,0.283540,0.115023,0.474787
0.096452,0.566876,0.497013,0.612887
0.316281,0.305183,0.264064,1.219681
4.012438,3.024766,4.726187,2.760806
3.698127,0.701599,3.066821,1.390893
3.359825,0.910288,2.387047,1.595145
0.105768,0.628987,1.374143,1.124634
1.199613,2.395002,0.793388,1.204949
0.710204,0.143899,0.511936,0.904787
1.254612,2.260072,0.446130,0.403924
0.643617,0.387130,0.043555,0.317529
0.610156,0.124541,2.573778,3.096862
3.404731,3.310166,2.254251,1.319648
3.037398,2.646242,1.094075,2.316374
0.630400,0.666262,1.381689,0.998687
0.798935,1.882725,1.532382,1.099633
1.320558,3.461596,1.292657,0.257822
0.155944,0.672240,0.793509,0.028219
0.124089,0.327108,0.025907,0.126681
0.218430,2.139510,0.725348,2.424442
0.822743,1.199989,1.308224,0.633726
1.131123,1.243118,0.504141,0.657520
0.967605,1.057264,0.096274,1.873975
1.678801,0.542864,0.332323,1.448270
0.984274,0.432546,4.085376,4.084685
4.662334,2.538671,1.369231,0.414263
0.070524,1.980624,4.115374,0.186970
0.298925,0.136323,0.043078,0.273799
3.270102,4.634603,3.083083,2.873541
1.079893,3.019918,2.246459,1.468665
0.074001,0.773987,0.204201,3.325902
4.022003,4.164170,2.015590,1.045520
0.644281,0.031640,2.218434,4.783288
3.882169,3.577025,0.358456,0.242113
0.295437,0.365252,1.020736,0.917702
0.376360,3.372463,1.132769,1.646856
0.932012,0.410195,2.471224,1.104840
2.809044,3.251754,2.838532,1.621724
1.071320,0.369425,2.182874,2.864852
1.255876,1.307791,2.123167,0.096550
2.324955,0.863107,0.218429,1.100462
0.378467,0.268178,0.870890,0.590933
0.061177,2.088378,1.411964,1.422687
2.794820,3.647329,1.521994,0.268478
0.013644,0.451404,0.252850,0.172522
1.634259,4.509628,2.256211,2.085013
1.078513,1.323131,0.105105,0.639277
0.439362,2.127790,2.751137,1.563020
1.194079,1.415718,1.333871,1.288927
0.542907,1.785792,2.240806,2.608795
3.299817,0.888119,1.539556,0.637547
0.557048,1.064899,0.659233,3.437119
4.055726,3.884203,1.343001,2.037856
0.746467,0.619046,0.669436,1.202071
2.021448,0.123429,0.084862,0.088313
0.469580,0.268588,0.263461,0.500123
1.711906,2.752257,2.127356,2.607710
1.727756,1.933213,2.738447,0.119047
0.212132,0.274100,0.042282,0.074893
0.012249,0.632678,0.798103,1.614586
0.301461,0.351916,0.466892,0.738984
0.547834,0.215073,0.497300,0.157659
0.082502,0.157210,4.119577,0.739985
3.200166,0.028485,0.007965,0.125070
0.316783,0.277029,0.003394,0.323362
0.282281,1.076775,0.276207,0.515468
0.052470,0.057454,0.069183,0.261609
0.188792,0.776115,0.523191,0.358929
0.280673,0.163227,0.332312,0.450451
0.185934,0.095173,0.883566,0.432286
0.075552,0.179497,0.034809,0.004764
0.601293,0.870510,0.150834,0.445707
0.506572,0.585293,0.164549,0.300171
0.083672,0.199605,0.138613,1.477113
0.915055,0.784862,1.007076,1.108729
0.375626,0.004489,0.234176,0.511405
0.961982,2.144539,2.124661,3.071773
2.390381,0.815862,0.403032,0.140725
0.602266,2.364816,1.221978,1.122497
2.343770,2.169694,1.511372,0.377720
1.977809,0.483818,1.553056,3.099028
1.349846,3.315457,2.518082,3.039892
0.005575,0.117493,0.190479,1.107096
0.540168,2.324112,0.652301,0.252988
1.776355,1.036392,0.316626,1.936042
0.380438,1.447876,1.325833,1.508946
0.895068,0.149149,0.845726,2.151810
2.136607,1.455636,2.514178,2.024087
0.535791,0.757457,2.950619,3.003559
1.541275,0.629676,0.355587,1.073333
1.694484,1.005910,1.143684,0.252078
0.190604,0.220976,1.732044,0.096581
0.233672,1.719812,0.896831,2.274615
1.444672,3.364797,0.943534,0.870879
2.595904,2.098734,0.869612,2.336453
1.059207,0.667628,0.484683,0.296788
0.527544,0.178694,0.047087,1.293051
0.119193,1.923796,1.155116,1.538681
1.361406,3.256463,2.403215,0.974631
0.906480,0.212374,0.069298,0.914890
2.202002,0.249616,1.209617,0.481806
0.392262,2.067986,0.019875,1.044129
0.368681,1.927187,4.878012,1.766071
3.225322,2.183614,0.646807,1.126759
0.174648,1.828234,4.663999,2.166729
2.092342,2.576019,2.592203,2.646308
4.770886,4.771381,4.623875,3.656029
2.758939,1.776661,0.321497,1.513486
2.150322,1.107923,0.825422,0.523716
0.200092,1.436798,0.236861,0.434897
0.457343,0.534969,0.559002,1.370823
1.224648,1.143310,0.087228,3.692099
2.202111,1.181130,0.546508,0.617272
0.681180,3.038191,2.617565,2.466840
2.047955,2.278396,1.893272,0.180952
0.454603,0.579148,0.310432,0.147473
0.418470,0.074866,0.032723,0.113114
1.800377,0.187316,0.445662,3.563739
3.102315,2.825639,1.939172,0.453207
0.818780,1.084576,4.377278,1.307421
1.877002,4.611920,2.179994,0.579064
0.471834,2.451770,0.787937,0.009797
0.095423,2.552594,0.952379,1.214629
0.849100,2.463203,2.738432,1.592634
3.484453,0.744697,0.993648,0.112548
1.831432,3.663377,2.313803,1.079923
0.115592,1.484499,1.938425,0.463773
0.116278,0.995777,1.532688,1.441478
2.224069,0.119254,0.238720,0.367304
1.193036,1.112342,1.026216,1.212321
0.794645,0.685447,0.234998,2.452416
2.704526,1.448344,1.268873,2.338934
0.570221,3.103570,1.153031,0.506677
2.795835,4.660277,4.897672,3.760102
0.717468,1.185479,0.328727,0.051578
0.154148,0.020691,0.267380,0.418159
1.156338,0.350896,0.306337,0.385092
0.448778,0.402329,0.116552,0.394834
0.243019,0.426298,0.476192,1.190647
0.873707,2.842814,3.956652,2.828307
2.395565,1.419060,1.156460,1.320095
0.711957,0.371866,0.823332,0.344000
1.668838,3.521556,1.523104,1.509351
0.948545,0.507512,1.927217,2.437406
2.733318,1.369586,0.650267,0.476742
0.508718,1.573989,3.352738,0.512228
0.550273,3.301329,0.874322,1.422046
0.840056,0.891186,0.711210,0.736112
2.176918,0.073292,2.047275,0.639274
1.426986,3.119653,1.950800,2.472817
2.394844,1.845341,0.389787,2.886216
0.657549,2.955880,0.254199,0.049921
2.239396,1.499478,0.547637,1.947625
2.188154,3.098111,4.933920,4.721215
3.358953,1.143912,0.651845,0.976931
0.610492,0.113122,0.741666,0.317914
0.082745,0.254480,0.153817,0.183542
0.325499,0.330153,0.073980,0.136023
0.170991,0.642234,1.139498,0.735042
1.880146,1.044036,1.744312,1.565072
0.971894,0.438926,1.375836,1.447549
2.859554,1.036442,3.607307,0.616645
1.216370,2.178293,0.416988,0.093031
0.164856,1.914420,2.009572,1.370328
0.524883,1.369278,4.911150,3.338109
2.953489,2.921473,2.102691,1.959238
1.114347,1.017215,3.378956,4.483366
3.518826,2.363544,2.564690,3.042182
1.048812,0.640455,0.566178,0.245961
0.191199,0.520205,0.342423,0.312583
0.163783,0.516094,0.051085,0.282532
0.414287,0.135753,0.384597,0.535056
0.381280,0.155048,0.907928,0.612198
0.014683,0.318262,0.560632,0.061291
0.582131,0.377147,0.206844,0.576125
0.330766,0.935415,0.134846,0.191693
0.411671,0.454168,1.047291,0.257308
1.034403,4.158156,4.604672,2.097436
0.311741,0.091342,0.892672,0.376891
1.271246,1.119056,1.507317,0.047066
0.080018,0.964360,0.260199,1.220720
0.976459,1.487157,2.154886,3.097685
2.722721,1.607020,1.732643,3.149294
0.706423,2.896699,2.380998,1.656028
0.970915,1.804549,1.335337,2.843217
3.832700,1.398406,3.096398,4.460305
3.497533,1.770135,2.690045,4.269547
3.401942,0.289446,1.144960,0.000054
1.017516,0.063012,0.028452,0.708130
0.589147,0.258367,0.212197,3.454609
3.924297,1.139997,3.755502,1.386206
0.294521,1.516728,0.718690,0.315148
0.992687,0.443366,1.107520,0.394795
0.175098,0.937139,0.775575,0.311002
2.911189,0.824454,3.759141,2.068108
1.379651,0.230283,0.412885,0.007409
2.351148,1.564552,0.713382,0.210310
0.288416,0.054702,0.164847,0.129433
0.075366,0.250086,0.083624,1.822453
2.764180,1.590107,1.765973,0.370442
1.732800,0.935290,0.791197,0.779368
0.166715,0.920605,0.485938,0.313147
0.173248,0.182951,0.820562,0.071843
1.030079,1.035669,2.064274,0.408426
0.557881,0.268610,0.962455,0.312451
0.381880,1.318056,0.659576,0.122567
0.201058,1.239610,1.830633,1.751416
1.509944,0.804527,0.840548,0.616461
0.041409,0.257341,0.864665,2.318824
0.469085,1.927894,1.888864,0.628661
0.904560,0.263328,1.237856,1.043185
0.562943,0.723962,1.353927,0.904807
4.907432,3.975953,1.838922,2.635038
1.715050,2.167377,1.037025,0.290816
0.107683,0.339665,0.268894,0.720940
0.008282,1.295217,0.654721,1.102954
0.157115,1.569159,0.362095,2.815571
3.983977,2.554336,1.139229,1.855555
2.911919,0.321651,1.949001,3.080563
1.410337,3.718106,2.911081,2.179377
0.501698,0.926893,0.423551,0.864688
1.384783,0.426563,2.552926,3.344675
1.076009,2.116178,1.696937,1.874028
3.545307,3.302722,0.924024,1.776752
4.990604,1.937853,4.363251,4.832989
4.882251,3.094404,2.578492,1.659594
3.011136,2.435285,0.836923,0.739654
1.235871,2.669400,4.808555,1.781139
2.173761,1.019531,0.204057,0.269980
0.175996,0.892096,3.275928,3.156849
2.483924,2.096093,0.846206,0.487618
0.655810,1.659159,0.818298,0.044885
0.213508,2.694678,2.859319,2.346541
3.131645,4.326839,4.687919,1.373776
3.124327,0.595242,2.718258,2.504404
3.686723,2.984361,4.119547,3.533089
1.929397,0.066324,0.905792,1.264153
2.889061,1.268886,1.130900,1.252879
1.448115,0.493665,0.726587,0.179378
1.708011,1.535921,0.254873,0.119152
0.310991,0.263829,1.960134,2.406210
0.951839,2.001880,1.092697,1.076833
2.263137,3.256573,3.864816,2.535760
0.633422,0.084341,0.800149,0.097749
0.928099,1.102885,0.785291,0.512565
0.578266,0.904960,0.688853,1.609724
2.503657,3.799277,0.986215,0.340497
0.775657,1.543609,1.224244,2.662082
1.426845,3.294581,3.981922,2.221493
1.367866,0.156095,0.199173,0.246230
1.106453,0.742503,0.683376,0.835183
2.120184,3.768655,2.650169,1.019492
1.116629,0.793751,0.925747,2.592993
4.570298,1.299747,2.145566,1.553664
0.989177,2.277242,1.602439,0.861802
0.534943,0.074020,0.671554,0.740727
1.631184,1.241861,2.202280,0.369238
2.363771,2.104159,0.328365,0.468167
0.830651,2.223128,3.482864,4.087254
2.302616,0.878253,1.349843,1.919049
1.437701,2.162253,1.857797,0.306726
0.089599,0.683069,0.001652,0.194656
0.611891,1.789216,1.361133,2.788237
3.056866,0.182151,0.383174,0.072508
0.178033,0.962335,0.469664,2.250573
1.691602,3.392456,4.865727,1.756861
0.052876,0.538603,0.019519,1.464613
0.283905,0.114145,0.932251,2.207180
1.232157,2.643381,2.407193,0.728929
0.036995,0.284982,0.381965,4.002557
1.429414,0.199690,0.075347,0.516993
0.028092,0.473876,0.717489,0.468780
0.416714,0.496803,0.599594,0.206361
0.983495,1.401865,2.156915,3.180929
0.513410,0.872005,0.847068,0.149906
1.251629,0.319344,1.345910,0.415788
0.758054,2.461865,2.006989,2.142119
1.749461,1.866233,0.109078,0.180507
0.794355,1.102708,1.308261,1.192117
2.057417,3.261087,0.406393,0.808440
1.576985,4.139879,3.244618,2.943019
1.296683,0.315153,1.296260,2.199962
2.003424,0.619259,0.975348,2.749048
1.455540,0.961843,0.878061,0.463561
3.899334,2.845406,2.182521,2.156410
2.419711,0.932827,0.553842,0.698165
1.133621,1.299814,0.242179,0.237710
1.413616,1.098050,1.785501,0.320176
2.371345,2.565964,1.284779,2.901311
3.138985,3.643970,4.349668,1.962355
0.443774,0.971088,0.604292,0.390344
1.611060,3.262142,0.471444,0.864692
1.427466,0.243841,0.697842,1.397405
3.062495,2.818147,1.584059,3.217004
0.935491,0.828353,0.146544,0.904821
0.332400,0.605277,0.919416,1.689960
3.152307,0.839845,2.009147,1.137890
0.386932,0.561272,1.414910,1.355955
0.732228,0.283643,1.536583,0.330723
3.420068,0.581111,1.883698,3.119647
2.789161,1.827705,1.261962,1.890556
2.588788,2.056247,4.462986,1.045460
0.136401,1.692042,2.915178,4.037966
1.747096,0.222945,0.432691,0.500992
0.251147,0.291671,2.167134,1.392889
0.565338,0.756277,0.707290,0.341113
0.522057,0.036320,0.062141,2.457589
2.917399,2.682862,0.152367,0.362139
1.061809,1.322690,1.236082,0.536125
3.290906,4.678263,2.644860,3.168609
0.932831,0.014630,0.432987,0.839535
0.551697,1.948371,1.194654,3.000056
1.286351,1.423153,1.718727,2.860784
0.149740,1.199568,0.651888,0.515964
0.579085,0.679450,0.344749,0.527899
1.722480,3.274056,2.857296,3.601291
0.794872,2.746831,2.324319,0.828220
1.408057,0.666827,0.249041,0.743177
0.220564,0.585343,0.460973,1.419762
1.786830,0.997003,1.465641,1.490167
0.399760,1.416745,0.002545,3.951830
3.836596,1.956460,2.579366,1.402690
0.152155,0.232242,0.285101,1.501209
4.780091,1.798556,3.074733,1.285462
0.554505,0.052515,2.197513,3.847773
2.355631,3.332836,3.938816,2.460801
1.725304,0.724002,0.938955,0.138163
2.352775,1.406918,3.673037,1.231024
0.641542,0.528350,0.164270,0.087269
0.075852,0.708279,0.099070,0.309251
0.289986,0.400720,0.158604,0.064655
0.660746,0.397364,0.734046,2.053158
2.290459,1.470727,0.476157,0.361730
0.493204,0.139698,0.374348,1.476033
1.281018,3.365093,2.189226,2.515642
0.293880,0.862619,1.022827,1.532781
1.035665,3.328530,3.235415,2.885041
0.461207,0.946282,0.210298,3.304475
3.942522,1.890757,1.972416,0.077924
1.921416,1.400644,0.796025,0.093994
0.199785,0.531519,0.507935,0.129810
0.132158,1.316807,3.180321,1.186498
0.912647,0.786685,1.480018,0.404191
1.497255,1.131272,0.298413,1.238123
2.245495,2.903271,3.447157,3.915520
2.340410,3.186836,0.344128,0.558650
1.802755,4.589508,3.010640,4.422627
2.483947,2.221862,0.546673,0.706577
0.808467,0.148930,0.569567,1.282467
0.560989,1.472542,3.328523,4.289841
3.909394,3.210920,1.271229,1.716346
2.619290,0.038256,1.611331,0.652240
2.504685,3.276518,2.890168,2.716820
0.861994,0.266252,1.595276,3.504080
2.164562,0.523509,1.482111,0.136474
0.376789,0.332374,1.041860,1.687700
0.120191,1.335129,0.560233,0.083267
0.788956,1.333506,2.039470,0.076147
0.312704,0.302333,0.339216,1.237624
0.644435,0.068021,1.177411,0.098599
0.231616,0.657756,1.345754,2.834586
2.926677,2.513673,2.365301,1.124019
2.760415,0.348894,0.079279,1.556564
0.618449,1.315210,0.894836,0.882382
1.241187,2.295199,0.698924,0.265159
1.516970,0.706583,0.264269,1.960453
0.351948,2.053191,4.254395,0.072711
0.909729,0.450237,1.101694,0.554521
0.483998,0.146034,0.904979,0.428349
0.457793,1.853933,1.610591,3.439301
1.624240,1.432726,0.666277,0.843221
1.555627,0.951604,1.906602,3.569909
2.374421,0.391786,0.485445,1.407593
0.717723,0.261112,1.390276,2.238248
1.712205,3.678638,2.143476,0.679325
0.017835,0.262904,0.631445,0.456858
0.361506,0.036018,0.057455,0.165526
0.296272,1.039034,2.295369,1.197501
0.505280,0.100055,0.105841,0.330911
1.439830,0.932962,0.317691,0.916406
1.761366,2.001761,3.139665,0.853738
1.125709,0.513656,1.860438,1.271273
3.887542,0.614569,0.286829,0.118770
1.222058,1.414931,1.866346,1.863561
0.944693,1.504188,0.494322,0.344176
1.426605,1.730349,1.056965,0.334063
0.080922,0.080017,0.459363,0.627158
0.898990,1.735142,2.315918,0.602774
1.504920,0.157048,0.476215,0.188842
0.005930,0.320201,0.152588,1.051389
0.751356,0.271520,1.419836,3.722587
1.733520,1.400824,0.684458,0.104919
0.055115,1.585287,1.307241,2.590553
1.192423,0.124533,1.037831,1.515647
0.719734,0.060529,1.604628,0.476440
2.398227,1.682336,1.333980,1.338717
0.258767,0.749942,1.210620,1.408232
1.297936,0.360828,1.829550,2.593657
2.080384,0.644082,0.638553,1.624039
3.950738,0.413722,0.507594,0.084262
0.735279,3.420863,1.867331,0.029826
1.104753,1.366575,1.494699,1.087399
0.185159,0.092684,0.871276,0.769122
2.342819,2.391349,2.554598,2.054549
0.896791,0.573683,0.767353,1.097641
1.515821,0.819524,0.659148,1.637525
1.818867,1.275025,3.618695,2.592772
0.484947,1.072837,1.453217,1.990763
4.369653,4.929603,4.161500,0.886879
0.121775,1.402108,0.748823,0.348969
0.973171,0.184352,0.194300,0.311718
0.194527,0.913230,2.529448,0.658483
2.514993,2.713892,1.050859,0.340999
2.149517,1.712307,2.522736,3.467751
0.466444,0.494601,2.420382,0.949567
1.025056,1.693110,1.171072,1.360794
1.331968,1.427543,0.620395,0.309320
0.228850,0.055275,0.209951,0.290017
0.079971,1.471910,0.441900,0.458950
0.074258,0.640039,2.047418,2.453591
0.373966,1.469157,3.532789,3.383694
2.378354,2.281535,3.140778,1.557993
2.164756,4.850911,2.015477,4.004050
4.033636,4.625623,2.188310,0.641468
0.858189,0.558287,0.882004,0.855160
0.270378,1.369943,2.712270,1.314802
0.154137,1.339583,1.347642,0.865039
3.198277,2.097005,2.143045,1.900414
1.970005,0.243894,0.316037,1.023734
0.624827,0.289856,0.832980,2.947275
0.345488,0.131405,0.868248,0.743905
0.797258,1.057426,0.700255,0.505959
0.617451,1.555768,0.282138,0.405713
0.438682,0.165033,1.358464,0.865127
1.922880,3.778084,3.667483,1.932902
0.001054,1.408442,0.053555,1.750400
3.766093,4.288061,2.566413,3.646099
4.890628,3.653597,3.027486,0.753644
0.845041,1.077910,0.242764,0.271270
0.167711,0.242538,0.183606,0.076501
0.091174,1.471004,1.329250,2.206720
2.936998,4.878300,0.363474,1.262834
0.953659,0.490512,0.327802,1.188521
2.154347,2.847546,0.010797,0.253095
0.496806,2.139688,1.025628,0.541843
2.890409,1.918736,3.738784,1.585573
0.259497,0.941065,1.415988,2.295336
2.466222,1.099221,0.008435,1.130707
0.307010,0.306908,0.470741,0.367618
1.685202,0.019347,2.394467,0.887374
3.301143,2.533582,1.568347,2.701133
0.836554,0.425101,1.960272,1.557187
2.387062,0.984762,1.046738,1.203595
3.778043,2.835777,2.864818,4.200558
0.185630,3.759512,1.479214,0.482547
0.745261,1.601998,0.158141,1.001120
3.566884,3.403621,0.426066,0.392945
1.534883,1.753890,2.547311,2.671395
1.961677,0.029778,0.155691,0.117321
0.066983,0.597630,1.005837,1.521742
0.313108,2.733050,2.150797,0.001054
0.308691,0.083121,0.125539,0.531515
0.590015,1.947909,2.495423,0.882198
3.126888,2.122434,1.026315,0.668530
0.585892,0.393781,0.648848,1.149958
1.590142,1.928771,1.675089,1.810438
3.151660,2.369259,3.497044,1.908991
3.540401,3.628094,4.945533,3.498279
1.228312,0.220260,1.359460,0.758877
0.798944,0.794074,1.137629,0.163891
2.372813,2.237607,4.247310,3.276488
2.578056,1.845996,3.638172,1.309108
0.052572,1.409062,2.561973,0.324744
0.193953,1.389202,1.160525,3.704698
3.726513,4.176831,1.770545,3.846620
1.091993,0.449761,0.629646,1.675105
4.303696,3.377192,2.205143,1.261731
1.192484,0.497513,0.109138,0.386135
0.532412,0.377744,0.504093,4.920867
3.114594,2.338629,0.458236,0.479902
0.550872,0.830652,1.188211,1.772847
1.491478,0.760197,0.506828,0.134444
0.333160,0.309329,0.817710,1.982735
1.116976,0.452118,0.552745,0.032983
0.080209,1.023122,1.794953,0.916689
2.645184,4.246321,2.883758,2.482167
2.201677,3.599440,2.640138,4.788636
3.326198,1.450069,2.905192,4.674520
2.527091,0.917334,0.501540,0.152722
0.946761,1.591972,0.097769,0.247564
0.405421,1.900740,0.646708,0.421757
2.160033,2.697646,1.498889,2.347212
0.611848,0.095667,0.010246,0.439542
0.538067,0.546236,3.664686,3.801057
1.152135,0.704936,0.230339,0.503202
0.200419,0.877814,1.727832,0.099093
0.986902,0.307009,2.250688,1.412123
0.689842,0.870431,0.441095,1.404650
0.912853,2.310449,0.264579,0.329125
1.113432,2.276312,0.711260,0.398189
0.369757,2.163648,4.292593,4.003393
4.023036,4.403858,3.002195,1.232702
0.758696,0.850710,2.198612,2.364143
0.344114,0.117150,0.171614,0.641736
1.023193,2.335835,1.603090,1.452597
2.534799,0.554468,0.468865,0.266610
1.139260,0.625985,0.625665,0.357801
0.327130,2.274821,1.945875,2.820062
1.874102,2.961669,2.808780,3.031156
0.650370,0.485971,0.283629,0.686247
0.734199,0.311972,0.146072,0.207121
0.255406,0.306742,0.075231,0.595550
1.062985,1.205952,0.371638,0.398243
1.717236,2.220739,3.998370,0.238265
1.894154,0.000197,1.184327,0.186889
2.055778,0.377127,0.004003,1.045407
0.149934,0.530920,0.307601,0.183218
3.961340,4.718315,1.389829,0.566778
2.026576,3.753430,0.003259,0.353493
0.077328,0.248878,0.368612,0.036802
1.822388,0.383758,0.276628,0.935461
1.016486,0.266141,0.369135,0.067738
0.159432,1.010124,0.057727,0.448732
0.087120,1.948136,2.000868,1.084212
1.139220,1.819665,1.968994,0.257655
1.590362,4.064196,2.635616,1.703185
0.362758,0.964926,0.761992,2.903929
2.570851,3.494931,1.786305,0.862979
1.429354,1.871608,0.779957,0.599322
0.781239,0.086866,0.207097,0.370442
0.580824,0.313054,0.173070,0.341347
0.408422,0.589371,0.026723,0.062885
0.067105,0.052211,0.377219,0.468144
1.427923,2.624456,3.348666,0.042769
0.041991,0.060780,0.432530,0.496803
0.526762,0.988341,0.730001,0.723181
0.325016,0.026501,0.168035,0.095204
0.827392,1.039423,1.280857,1.729200
0.633098,0.162142,0.029044,0.101789
0.157203,0.315553,0.041025,0.295062
0.392947,0.527672,0.731131,0.689209
0.370035,0.355645,3.690783,4.660366
3.641473,2.561044,0.277726,0.116848
0.451604,0.061250,0.034020,0.039140
1.032775,1.705652,1.141001,2.317554
1.687947,2.646087,0.211242,1.575892
0.110456,2.208295,1.063132,1.351123
0.172275,2.367811,0.747568,0.343409
0.361760,1.266760,0.841449,1.766099
1.713068,0.678971,0.889543,3.670472
4.023077,2.166622,3.257987,0.309530
1.462612,1.145731,0.380122,0.028229
3.100254,2.829314,0.097326,0.489354
0.163638,1.341060,3.622249,1.245612
1.118807,3.137012,3.190261,1.722861
0.043391,1.901432,1.471706,0.163288
0.181790,0.085376,0.153184,0.541338
0.208243,1.485091,1.771501,2.944606
0.610299,0.233997,0.167583,0.440917
0.106206,0.188560,0.783966,0.996736
2.490975,3.969845,3.944579,3.324207
1.906750,2.362200,1.128389,0.046475
0.202880,0.053813,0.360187,0.229872
0.408698,0.035837,0.553102,0.587501
0.039357,0.031405,0.243557,0.455741
0.208986,0.335243,0.179072,0.108834
0.339780,0.138912,0.901860,0.773116
2.739268,1.953025,2.364814,1.165721
1.059579,3.616260,2.467093,1.169242
2.604690,0.317767,0.003381,0.562146
0.515247,0.527269,1.120087,2.327126
1.073048,1.795340,2.288860,0.683230
2.353988,4.930756,4.683796,2.435690
4.710586,1.889933,0.437619,1.211031
2.687992,0.706626,1.268233,1.414720
0.843164,2.663085,0.641409,0.934167
1.237490,0.359683,2.504595,1.345282
1.875288,2.131781,3.088830,2.448470
1.759534,1.271501,2.624906,3.829410
4.537168,3.381440,2.243584,2.804844
1.064185,0.329811,0.292016,1.582193
3.474605,1.900269,1.180998,1.461567
3.211930,2.476880,2.358120,2.913929
2.718803,0.582380,2.528750,1.412373
0.079354,0.369925,0.843758,0.250679
0.105624,0.410033,3.048817,4.384801
3.495611,1.939506,2.033362,0.824264
1.767761,0.724589,2.673201,0.644854
1.654713,1.504580,0.624373,0.234246
0.198027,0.085081,0.057233,0.557834
0.394291,0.190374,0.381989,0.776620
0.693891,0.252694,0.798937,0.555901
0.665693,0.643317,0.327602,0.397162
0.201500,0.629093,0.604110,1.069966
1.489677,1.518147,0.816931,0.805577
2.719825,4.864931,4.937602,4.235552
3.776766,1.145707,0.002878,0.064217
0.086392,0.263220,0.342866,0.524993
0.968054,0.842324,0.409792,0.242040
0.147132,0.038228,0.395169,0.063655
0.378494,0.434771,0.750182,1.263520
3.316849,2.615558,4.997718,4.980457
2.349520,2.309994,0.264310,0.082670
0.605558,0.749057,0.220687,0.137279
0.223941,0.945462,2.725458,1.838296
3.093967,1.606384,1.066882,3.277548
2.011702,2.430020,3.215659,0.798813
0.069564,0.069439,0.304114,0.442493
0.319359,0.413450,0.202085,0.358236
0.227608,0.079372,0.111214,0.049415
0.040764,0.280177,0.039603,0.920279
2.207568,1.994752,1.918456,0.061818
0.232178,0.541651,1.344594,1.281710
1.126821,0.659524,0.243515,0.339260
0.466572,0.240709,0.065880,0.169567
0.177722,0.143562,0.176902,0.005869
0.212501,0.506718,0.275418,0.170133
0.262538,0.180926,0.291043,0.321705
0.624869,0.055657,0.220990,0.321441
0.096233,0.464210,0.601838,0.446366
0.385121,0.643596,0.188535,0.440152
0.136980,0.164500,0.066865,0.296101
0.014471,0.151974,1.385299,2.923766
1.845380,1.370130,1.406053,1.477708
3.177077,4.076000,1.413637,0.766184
1.354355,3.373157,1.559777,0.165147
0.749457,1.383671,1.032378,3.667538
3.587035,1.985444,0.815510,1.548681
0.960009,2.604851,2.352479,0.590242
0.769408,0.039656,0.891848,0.222281
2.362363,0.151664,1.942159,1.588013
3.111259,1.825238,0.053311,1.723129
1.739757,0.986736,2.564942,3.085627
2.850422,0.957300,0.553301,0.820680
1.802325,1.155931,1.789717,0.603810
2.550684,4.397666,1.992192,2.273119
2.198984,1.322883,0.192519,0.317357
2.739215,1.139585,3.207899,0.526917
0.250421,0.297068,1.521377,2.690276
3.691876,1.584941,0.602304,0.793373
0.860170,0.881787,0.890879,1.503336
0.441436,0.743192,1.933135,1.682841
2.379574,0.911452,0.795086,0.561284
