likelihood_theta2,theta2
7.8590228418e-20,0.2531412613
4.8798670034e-18,1.1092175767
3.0766402587e-19,1.5127648732
1.2308233972e-19,0.2873900510
5.1534783671e-18,1.0888457479
3.5074885332e-18,1.1978340672
5.1503670039e-18,0.8149404688
1.9967901763e-19,0.3271288144
2.5922600408e-19,0.3500079217
9.2867613290e-20,0.2656243371
2.4865390888e-18,0.6287057542
1.2501358173e-18,0.5212465167
2.7601132353e-20,0.1808254655
4.6147558667e-20,0.2151579843
1.5989246212e-20,0.1466053320
1.1862394848e-18,0.5142099123
1.5823795711e-18,0.5545758558
5.1709482324e-18,0.8166271217
4.5575341153e-18,1.1313763349
2.8680198751e-18,0.6560441898
2.2465479362e-18,0.6106020282
3.0091950247e-27,2.4634683030
7.5117811102e-20,0.2498117691
1.2199557722e-19,0.2866904933
2.3419120078e-18,0.6178967240
2.4818324437e-19,0.3461130481
3.0050172981e-19,0.3634790339
9.3757976545e-20,0.2663468926
5.5423038889e-18,1.0552985865
3.0862314683e-20,0.1881048852
8.2538865037e-19,0.4687481249
8.4977963533e-21,0.1097749374
1.0656768704e-20,0.1226162167
4.8902126521e-18,0.7945912971
5.5041815487e-18,1.0589550682
3.0801767976e-20,0.1879760421
7.3468101446e-19,0.4551870722
5.5527035995e-18,1.0542819630
7.5585365943e-21,1.7860968443
2.9914792735e-20,0.1860625491
3.6069027422e-52,4.4272516956
4.0393335313e-20,0.2060545956
1.9026071613e-18,0.5829217630
1.0883125562e-20,0.1238285125
8.4213723244e-21,1.7793882272
4.9108185436e-20,1.6613298933
3.0208111531e-18,0.6666297296
1.1759602515e-18,0.5130549606
3.4423576493e-18,0.6951550107
2.1770615212e-18,0.6051931265
3.0868134537e-20,0.1881172581
8.5502519763e-20,0.2594083954
3.0441197368e-18,1.2268999079
2.1393394261e-28,2.5613953954
1.1856963051e-27,2.4983914623
1.1254608689e-18,1.3764979513
3.9189072872e-18,0.7268985991
3.4888127610e-22,1.9594084429
5.9274886173e-18,1.0077333108
1.1894906366e-21,0.0229359810
8.3861047411e-19,0.4706349936
4.2824604471e-18,0.7513726926
9.7663577548e-22,0.0177395837
1.6947098802e-18,0.5648653712
1.2404509336e-18,0.5201952380
1.7655185296e-19,0.3167091606
1.3379212019e-30,2.7407987608
5.2863619046e-22,0.0017587197
4.6537328613e-19,0.4059113490
2.4689554884e-20,0.1736553639
6.2030096492e-19,0.4362407935
4.1285196067e-18,0.7409430726
9.1727246303e-19,0.4814493343
1.1303972367e-19,0.2807156328
2.9898140260e-20,1.6964126448
4.8751840200e-21,0.0800563220
1.7315893032e-18,0.5681564030
7.9676032922e-20,0.2541563564
1.3699701260e-20,0.1373224113
9.0700760754e-21,0.1134307189
9.3829281355e-20,0.2664045043
3.0700909004e-33,2.9458934483
1.1200775401e-57,4.9501832858
7.8518102374e-20,1.6264836706
1.4800664988e-18,1.3413686938
2.8466868636e-18,0.6545521364
5.4080686073e-20,0.2262013046
1.7648749009e-19,0.3166786287
1.9617708514e-18,0.5878584904
1.2579064760e-42,3.6513925568
1.4966050797e-25,2.3107431624
4.1714602550e-18,0.7438401275
6.0550188159e-18,0.9772278468
3.1050977304e-18,1.2230285091
3.7787482041e-19,1.4935366214
1.9811961424e-18,0.5894619192
5.9186318635e-22,0.0062718385
4.4341243192e-18,1.1395103344
1.7386393120e-19,0.3154261730
4.6688772047e-38,3.3078633213
1.1473325031e-42,3.6544385036
1.0968377997e-18,0.5039335631
3.7928298649e-19,0.3855576305
7.0857247426e-20,0.2455400851
3.9138816603e-18,0.7265633395
4.3841538045e-21,0.0747066636
4.8873868007e-20,0.2191282756
1.5179464656e-18,0.5484766409
2.9781389281e-21,0.0563580094
1.3116728652e-19,1.5861861517
1.0537145880e-20,0.1219665064
5.8012857236e-18,1.0264991511
4.1644435547e-18,0.7433661518
8.1077403225e-19,1.4149197875
1.9984818974e-32,2.8834968476
5.1012373696e-19,1.4641276058
